held_out,train_dataset,family,acc.true,acc.pred,f1.true,f1.pred,auroc.true,auroc.pred,brier.true,brier.pred,meanconf.true,meanconf.pred,nll.true,nll.pred
imdb,imdb,sentiment,0.718999981880188,0.7483659982681274,0.7118985652923584,0.70418781042099,0.9523163437843323,0.921787679195404,0.18182618916034698,0.19744445383548737,0.6430283188819885,0.7478304505348206,0.5440698862075806,0.5491683483123779
imdb,imdb,sentiment,0.878000020980835,0.7703686952590942,0.8776818513870239,0.7458202242851257,0.9532879590988159,0.9284754991531372,0.15091365575790405,0.18529799580574036,0.6448434591293335,0.7489794492721558,0.4820103645324707,0.5107688307762146
imdb,imdb,sentiment,0.5824999809265137,0.7052254676818848,0.4163922369480133,0.6520630121231079,0.8804320693016052,0.888640284538269,0.21878686547279358,0.2194550484418869,0.6350644826889038,0.6231356859207153,0.6265318989753723,0.5891799926757812
imdb,imdb,sentiment,0.5580000281333923,0.6614506840705872,0.35815146565437317,0.6037940382957458,0.8576363325119019,0.8469666242599487,0.2838815450668335,0.27284517884254456,0.8035904765129089,0.6488283276557922,0.7740233540534973,0.6403600573539734
imdb,imdb,sentiment,0.5580000281333923,0.6725295782089233,0.35815146565437317,0.6200499534606934,0.8528023362159729,0.8379961848258972,0.28615862131118774,0.2730364203453064,0.8066902160644531,0.6205705404281616,0.780423641204834,0.634412407875061
imdb,imdb,sentiment,0.5580000281333923,0.6688995957374573,0.35815146565437317,0.6099212765693665,0.8615038990974426,0.8494337797164917,0.2740347981452942,0.26380252838134766,0.7859258651733398,0.6140298247337341,0.7476861476898193,0.6242244243621826
imdb,imdb,sentiment,0.9085000157356262,0.7839190363883972,0.9073895812034607,0.7505669593811035,0.9647202491760254,0.9296649098396301,0.09002986550331116,0.1773962378501892,0.7783832550048828,0.7939096093177795,0.31861042976379395,0.4973638355731964
imdb,imdb,sentiment,0.8949999809265137,0.7895439863204956,0.8944060206413269,0.7679586410522461,0.9595618844032288,0.9378788471221924,0.11237207055091858,0.1660832315683365,0.7249323129653931,0.7976939082145691,0.38322627544403076,0.48088276386260986
imdb,imdb,sentiment,0.8050000071525574,0.7371900081634521,0.804530680179596,0.7014928460121155,0.9418895840644836,0.9041690230369568,0.1899898201227188,0.21079768240451813,0.5893231630325317,0.7159841060638428,0.5689504146575928,0.5548568367958069
imdb,imdb,sentiment,0.5580000281333923,0.6905655264854431,0.35815146565437317,0.6258175373077393,0.8627582788467407,0.8829443454742432,0.26327112317085266,0.2394648790359497,0.7637314796447754,0.64459228515625,0.7207792401313782,0.6082095503807068
