cell,component,layer,side,word_initial,word_initial_spec,punctuation,punctuation_spec,capitalized,capitalized_spec,is_digit,is_digit_spec,char_len,char_len_spec,log_freq,log_freq_spec,position,position_spec,stopword,stopword_spec,negation,negation_spec,content_word,content_word_spec,is_alpha,is_alpha_spec,quote,quote_spec,token_sentiment,token_sentiment_spec
down-L0,down,0,write,0.22390450507629184,0.017904096873574,0.026454014346021515,-0.3324229155569573,0.44578916649184536,0.06951378305897582,0.034953414796242324,-0.004616982251756288,0.17688461433780064,-0.3303046845493076,0.5431306867673402,0.20242826070336273,0.2677777312131235,0.0323657811696286,0.479929830369659,0.08568650427899172,0.09655780918891986,0.01107113824571912,0.009342300882243484,-0.3455765662112258,0.21191036041814926,-0.18529510253266274,0.11120117646234896,-0.07280530859892444,0.033840553207036404,-0.053748158189233265
down-L1,down,1,write,0.12389786237460781,-0.15799047033124536,0.1480290620094302,-0.2817933927677029,0.5029815083731312,0.14455564779085944,0.0034436442040506523,-0.03919234309562109,0.38680578058128573,0.0011557420329056378,0.0747259117786467,-0.26819724663939715,0.005784152687559996,-0.29350564037166993,0.05289983009681904,-0.28727147609925846,0.015700797617422654,-0.08054011683343497,0.04431849025010595,-0.2539334714365583,0.25360262903166436,-0.18633580458854,0.077719159120515,-0.13748614572623583,0.028128407280885594,-0.10611723808994863
down-L2,down,2,write,0.1328360406615149,-0.10939507225491765,0.24478202179244407,-0.08471801827465991,0.08099833938983915,-0.2429562708720921,0.006700659781624785,-0.04674280298544802,0.2740409046868651,-0.04770639457803788,0.0670818431426485,-0.18341706638801594,0.1194141911560561,-0.16041129027775008,0.10681612800259806,-0.13770001219263428,0.013006110331789373,-0.08244391082962246,0.1606680171236966,-0.14299990575100474,0.2975738735045901,-0.10866451003333832,0.07518212645090382,-0.12134782661990691,0.04745513154564769,-0.06255100608241397
down-L3,down,3,write,0.05774244805518047,-0.19337653476311156,0.21533187550723532,-0.07634753507650893,0.05307993348942764,-0.26892326291596724,0.03304161847174057,-0.011719435560624616,0.07995456771188118,-0.28918291253939155,0.06469775887478399,-0.21376863774108615,0.0658057165085705,-0.18425080471441188,0.07530114687511469,-0.15132160154874238,0.022345574942512558,-0.050685728127958476,0.017253010862747706,-0.25660879009460885,0.11368786305566707,-0.28604452655457985,0.03928970753523317,-0.1505475442021723,0.020359456455620508,-0.09637145059867543
down-L4,down,4,write,0.2807142209371271,0.07386304564983612,0.011009461478012468,-0.2758648924290185,0.3248676858131286,-0.07386830677993417,0.026762649091286957,-0.011392760377830158,0.012634679427593484,-0.3373315964395323,0.16026701468850707,-0.14485935192434518,0.16560634654008818,-0.06467029066938551,0.04526463950506268,-0.20132035947771712,0.001990147812920723,-0.047245175277499975,0.20115775865872773,-0.05203300878036146,0.031288203622664386,-0.3608096092007181,0.024089975080812464,-0.16227402192537696,0.029843747850326424,-0.05963355473764986
down-L5,down,5,write,0.3208259069779571,0.06765291464262557,0.42485478928468157,0.1803644801125098,0.13744563964130044,-0.21944436557396277,0.0013282419575823114,-0.0422217779626433,0.29547479218142625,0.02955550035775778,0.3677898727043573,0.048358935930686575,0.34577795876925527,0.0819641487635111,0.1627542622432196,-0.08662743328528788,0.013735736246557008,-0.05857047472829201,0.3695872335459039,0.14447609467503564,0.5742114847313851,0.2522059560105319,0.11890919456964874,-0.039636470868058576,0.03406045770167838,-0.0792089126293666
down-L6,down,6,write,0.3623176158774512,0.09780930528445841,0.5287537779579755,0.23698638043542392,0.29432703940882077,-0.14835451847966652,0.009755497434962844,-0.04546669821529313,0.4013556614538651,0.05486237754803752,0.4503802027137697,0.10712522957291953,0.3606727894931645,0.05948524636089325,0.22158995186025385,0.0030534504478986757,0.026285156225034894,-0.04404894297606325,0.4420710564201437,0.15178552181608568,0.7095174223510613,0.3275903218272041,0.1596444063127248,-0.02524624246046306,0.020182260354561582,-0.09309227181573601
down-L7,down,7,write,0.27213075211635845,0.020030733289573055,0.34329737073439637,0.047467721422933096,0.08077170457738933,-0.34035724628027897,0.019282794519566427,-0.02647723493740645,0.3046866219562191,-0.003694494887166666,0.27189712860006526,-0.12149193384033885,0.2635936491819425,-0.144231494791209,0.1238406193510148,-0.15068469585748945,0.017097443059193782,-0.04629588038786088,0.3068757860233198,0.01697248204333318,0.4821413974147656,-0.028785702425234372,0.017493068542295195,-0.1287448757162335,0.03385433670454375,-0.08162667260459655
down-L8,down,8,write,0.23484130040607215,-0.018709172320115486,0.21058253043716543,-0.1269735953521912,0.1762470990840299,-0.12871643565530555,0.0381228559188369,-0.004170277749583257,0.18454605666038879,-0.1758547636925097,0.11930311661865253,-0.2062635698916925,0.25874174056198906,-0.10029573527060648,0.036251259521024724,-0.2385460405688025,0.0518471689868767,-0.027104933700805835,0.2821981225284621,-0.012197519780787924,0.26231504541278217,-0.14935712238207693,0.05113969324654352,-0.1477722971883717,0.09062778774974685,-0.029413445750827258
down-L9,down,9,write,0.11287487992967464,-0.15231179541603795,0.16509718234577106,-0.16662065751712532,0.007348918801110493,-0.4473560756138599,0.013510536711722152,-0.05261092456059644,0.04993579783792196,-0.23607155076999997,0.07174659151578086,-0.3277244406080818,0.08496583674538567,-0.26213327935851033,0.1042203054551248,-0.15897482098343524,0.028399265751348726,-0.05003592850835692,0.032844822697938605,-0.29096837804305065,0.17987742924339836,-0.26046494617574056,0.09747169311051829,-0.08685208989974799,0.05268704260301262,-0.045310360043660215
down-L10,down,10,write,0.046913811063635666,-0.14840007260013688,0.059493063948628286,-0.25788443167059677,0.2293611700566728,-0.20109374946574374,0.025728509320769956,-0.026876167601815992,0.04321926422523466,-0.3075913178946297,0.02173646241179365,-0.23745952659630984,0.1546672814132157,-0.16365688999546693,0.12032204055991508,-0.11599800220977213,0.005075878603742716,-0.07018819446856145,0.13155869667021586,-0.15705379334040798,0.1165591841653538,-0.30388718603219167,0.04107900502498681,-0.15375261817939923,0.003112293803280211,-0.1308960035698253
